instr,RegWrite,ImmSrc2:0,ALUSrc,ALUControl4:0,MemWrite,ResultSrc1:0,PCSrc1:0
"add","1","XXX","0","X0X10","0","01","00"
"sub","1","XXX","0","X1X10","0","01","00"
"or","1","XXX","0","XX111","0","01","00"
"and","1","XXX","0","XX011","0","01","00"
"sll","1","XXX","0","0XX00","0","01","00"
"srl","1","XXX","0","1XX00","0","01","00"
"slt","1","XXX","0","X1X01","0","01","00"
"addi","1","000","1","X0X10","0","01","00"
"ori","1","000","1","XX111","0","01","00"
"andi","1","000","1","XX011","0","01","00"
"slli","1","000","1","0XX00","0","01","00"
"srli","1","000","1","1XX00","0","01","00"
"slti","1","000","1","X1X01","0","01","00"
"lw","1","000","1","X0X10","0","10","00"
"sw","0","001","1","X0X10","1","XX","00"
"beq","0","010","0","X1X10","0","XX","{0,Zero}"
"bne","0","010","0","X1X10","0","XX","{0,~Zero}"
"blt","0","010","0","X1X01","0","XX","{0,~Zero}"
"bge","0","010","0","X1X01","0","XX","{0,Zero}"
"jal","1","100","X","XXXXX","0","11","01"
"jalr","1","000","1","X0X10","0","11","10"
"lui","1","011","X","XXXXX","0","00","00"